/var/spool/slurm/slurmd/job480731/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac/lib/python3.13/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
/home/sep4013/.conda/envs/lilac/lib/python3.13/site-packages/torchio/transforms/transform.py:162: RuntimeWarning: Output shape (144, 145, 144) != target shape (np.int64(144), np.int64(144), np.int64(144)). Fixing with CropOrPad
  transformed = self.apply_transform(subject)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!11 954
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!11 316
 ----------------- Run Setup Summary -----------------
JOB NAME: lilac_rt_order_4
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: cnn_3D
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 109248
 ----------------- Training initiated -----------------

[Epoch 0/100] [Batch 0/238] [ loss: 0.731530 ] ETA: 1 day, 20:01:39.779892
[Epoch 0/100] [Batch 1/238] [ loss: 0.861679 ] ETA: 2 days, 0:01:38.052282
[Epoch 0/100] [Batch 2/238] [ loss: 4.157890 ] ETA: 1 day, 17:34:53.231943
[Epoch 0/100] [Batch 3/238] [ loss: 1.593107 ] ETA: 2 days, 7:24:38.481405
[Epoch 0/100] [Batch 4/238] [ loss: 1.969719 ] ETA: 1 day, 20:37:57.084603
[Epoch 0/100] [Batch 5/238] [ loss: 0.938651 ] ETA: 1 day, 20:08:22.084638
[Epoch 0/100] [Batch 6/238] [ loss: 2.577480 ] ETA: 1 day, 17:54:50.179626
[Epoch 0/100] [Batch 7/238] [ loss: 3.299625 ] ETA: 1 day, 18:50:00.905775
[Epoch 0/100] [Batch 8/238] [ loss: 2.184175 ] ETA: 1 day, 21:03:08.031174
[Epoch 0/100] [Batch 9/238] [ loss: 3.010270 ] ETA: 2 days, 0:17:01.572293
[Epoch 0/100] [Batch 10/238] [ loss: 2.252227 ] ETA: 1 day, 17:41:16.136341
[Epoch 0/100] [Batch 11/238] [ loss: 1.696000 ] ETA: 1 day, 17:31:31.667853
[Epoch 0/100] [Batch 12/238] [ loss: 0.951881 ] ETA: 1 day, 19:32:33.236706
[Epoch 0/100] [Batch 13/238] [ loss: 3.547384 ] ETA: 1 day, 21:38:26.377963
[Epoch 0/100] [Batch 14/238] [ loss: 2.201173 ] ETA: 2 days, 12:08:09.079431
[Epoch 0/100] [Batch 15/238] [ loss: 1.307124 ] ETA: 1 day, 19:45:41.367782
